dataset,model,feature,feature_label,repeat,average_precision_decrease
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,5,0.00881842017928
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,6,0.00808363971674
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,7,0.00692266747413
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,8,0.0108127663539
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,9,0.00462686329893
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,10,0.0151131460436
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,11,0.00955851588652
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,12,0.00484893347627
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,13,0.00844033506632
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,14,0.00999331568369
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,15,0.00890400520976
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,16,0.00787927297732
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,17,0.00674490970752
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,18,0.00828935348452
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,19,0.00678297148952
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,20,0.00880999762149
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,21,0.00663161425503
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,22,0.00917964668644
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,23,0.011765680922
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,24,0.00517408956447
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,25,0.00788284021797
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,26,0.0100978281509
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,27,0.00924927247261
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,28,0.0116921534361
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,29,0.00897781544849
htru2,random_forest,profile_mean,Profile mean,0,0.00895555865041
htru2,random_forest,profile_mean,Profile mean,1,0.00753313173414
htru2,random_forest,profile_mean,Profile mean,2,0.00702819542009
htru2,random_forest,profile_mean,Profile mean,3,0.00771449302607
htru2,random_forest,profile_mean,Profile mean,4,0.00916243364738
htru2,random_forest,profile_mean,Profile mean,5,0.00978888133898
htru2,random_forest,profile_mean,Profile mean,6,0.00861010409775
htru2,random_forest,profile_mean,Profile mean,7,0.00372309388761
htru2,random_forest,profile_mean,Profile mean,8,0.00784679874929
htru2,random_forest,profile_mean,Profile mean,9,0.00915650287126
htru2,random_forest,profile_mean,Profile mean,10,0.00990272834838
htru2,random_forest,profile_mean,Profile mean,11,0.00636244550685
htru2,random_forest,profile_mean,Profile mean,12,0.00935579560323
htru2,random_forest,profile_mean,Profile mean,13,0.00712782886498
htru2,random_forest,profile_mean,Profile mean,14,0.00655574208618
htru2,random_forest,profile_mean,Profile mean,15,0.00698538432358
htru2,random_forest,profile_mean,Profile mean,16,0.0109660696626
htru2,random_forest,profile_mean,Profile mean,17,0.00803341425758
htru2,random_forest,profile_mean,Profile mean,18,0.00986089415767
htru2,random_forest,profile_mean,Profile mean,19,0.00448273353071
htru2,random_forest,profile_mean,Profile mean,20,0.00843734020617
htru2,random_forest,profile_mean,Profile mean,21,0.00779934213725
htru2,random_forest,profile_mean,Profile mean,22,0.00828991880981
htru2,random_forest,profile_mean,Profile mean,23,0.00850177923286
htru2,random_forest,profile_mean,Profile mean,24,0.00808841335805
htru2,random_forest,profile_mean,Profile mean,25,0.0108197572898
htru2,random_forest,profile_mean,Profile mean,26,0.00491447828958
htru2,random_forest,profile_mean,Profile mean,27,0.00617220177117
htru2,random_forest,profile_mean,Profile mean,28,0.00726943706557
htru2,random_forest,profile_mean,Profile mean,29,0.00931505154088
htru2,random_forest,profile_standard_deviation,Profile standard deviation,0,0.0114135513437
htru2,random_forest,profile_standard_deviation,Profile standard deviation,1,0.00320580134648
htru2,random_forest,profile_standard_deviation,Profile standard deviation,2,0.00804386882172
htru2,random_forest,profile_standard_deviation,Profile standard deviation,3,0.00726378489055
htru2,random_forest,profile_standard_deviation,Profile standard deviation,4,0.00861405028394
htru2,random_forest,profile_standard_deviation,Profile standard deviation,5,0.00522909657716
htru2,random_forest,profile_standard_deviation,Profile standard deviation,6,0.00877288967425
htru2,random_forest,profile_standard_deviation,Profile standard deviation,7,0.00343285957741
htru2,random_forest,profile_standard_deviation,Profile standard deviation,8,0.00780289674203
htru2,random_forest,profile_standard_deviation,Profile standard deviation,9,0.00594814985315
htru2,random_forest,profile_standard_deviation,Profile standard deviation,10,0.00709635271721
htru2,random_forest,profile_standard_deviation,Profile standard deviation,11,0.0089813623737
htru2,random_forest,profile_standard_deviation,Profile standard deviation,12,0.00846151567261
htru2,random_forest,profile_standard_deviation,Profile standard deviation,13,0.00493330311385
htru2,random_forest,profile_standard_deviation,Profile standard deviation,14,0.00485126801573
htru2,random_forest,profile_standard_deviation,Profile standard deviation,15,0.00891269312286
htru2,random_forest,profile_standard_deviation,Profile standard deviation,16,0.00797853204964
htru2,random_forest,profile_standard_deviation,Profile standard deviation,17,0.00558176095574
htru2,random_forest,profile_standard_deviation,Profile standard deviation,18,0.00951296862624
htru2,random_forest,profile_standard_deviation,Profile standard deviation,19,0.00395394803357
htru2,random_forest,profile_standard_deviation,Profile standard deviation,20,0.00759844501701
htru2,random_forest,profile_standard_deviation,Profile standard deviation,21,0.00704489657287
htru2,random_forest,profile_standard_deviation,Profile standard deviation,22,0.00143006836373
htru2,random_forest,profile_standard_deviation,Profile standard deviation,23,0.00372010491417
htru2,random_forest,profile_standard_deviation,Profile standard deviation,24,0.00875930092197
htru2,random_forest,profile_standard_deviation,Profile standard deviation,25,0.00675725396808
htru2,random_forest,profile_standard_deviation,Profile standard deviation,26,0.0102257287277
htru2,random_forest,profile_standard_deviation,Profile standard deviation,27,0.000827020547382
htru2,random_forest,profile_standard_deviation,Profile standard deviation,28,0.00669006749963
htru2,random_forest,profile_standard_deviation,Profile standard deviation,29,0.00415446339566
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,0,0.66833387239
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,1,0.679507039517
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,2,0.648571523813
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,3,0.654932396384
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,4,0.656075866898
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,5,0.688427122014
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,6,0.682014738885
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,7,0.667420260513
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,8,0.672940150197
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,9,0.659189021715
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,10,0.631013765187
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,11,0.666617052852
htru2,random_forest,profile_excess_kurtosis,Profile excess kurtosis,12,0.658578607526
